analysis_id,n,events,hazard_ratio,hr_ci_low,hr_ci_high
v44_s3_charls_pc_e0_a0,12555,1735,1.46126438689593,1.34315023481676,1.58976527946007
v44_s3_charls_pc_e0_a1,12555,1735,1.4254815272918,1.31273794560704,1.54790801275308
v44_s3_charls_pc_e0_a2,12555,1735,1.27233524482457,1.17550760418064,1.37713866713025
v44_s3_charls_pc_e0b_a0,12555,1735,1.34615253807054,1.2576008537538,1.44093942871043
v44_s3_charls_pc_e0b_a1,12555,1735,1.31921403950111,1.23452489307931,1.40971291204659
v44_s3_charls_pc_e0b_a2,12555,1735,1.20570850685128,1.13064560537147,1.285754790526
v44_s3_charls_pc_e0_a0_complete_case,10346,1375,1.43415776458164,1.30200372876807,1.57972550175099
v44_s3_charls_pc_e0_a1_complete_case,10346,1375,1.39453845740706,1.26882483415541,1.53270763373872
v44_s3_charls_pc_e0_a2_complete_case,10346,1375,1.2609389930688,1.15220381878583,1.37993566617132
v44_s3_charls_pc_e0_a1_boundary_excluded,12379,1680,1.46313097271873,1.34012916634718,1.59742232098713
v44_s3_charls_pc_e0_a1_strict_measurement,9729,1246,1.40591241125175,1.27684853757287,1.54802206365758
v44_s3_charls_pc_e0_a1_w2_landmark_conditional_survivor,11981,1394,1.42109614944112,1.30443081763094,1.54819576374633
