variable,population,n,n_missing,pct_missing
wtmec6yr,adult_45plus,10270,0,0
psu,adult_45plus,10270,0,0
strata,adult_45plus,10270,0,0
age_years,adult_45plus,10270,0,0
sex,adult_45plus,10270,0,0
race_ethnicity,adult_45plus,10270,0,0
height_cm,adult_45plus,10270,562,5.47
bmi,adult_45plus,10270,586,5.71
smoke_ever,adult_45plus,10270,8,0.08
pef_l_min,adult_45plus,10270,3162,30.79
resp_vulnerability_z,adult_45plus,10270,3208,31.24
fev1_fvc,adult_45plus,10270,3162,30.79
obstruction_fixed_ratio_abc,adult_45plus,10270,3484,33.92
current_asthma,adult_45plus,10270,43,0.42
self_reported_emphysema_or_bronchitis,adult_45plus,10270,38,0.37
nhanes_frailty_proxy_count,adult_45plus,10270,3384,32.95
hba1c_percent,adult_45plus,10270,916,8.92
wbc_1000_ul,adult_45plus,10270,909,8.85
albumin_g_dl,adult_45plus,10270,1088,10.59
