outcome,outcome_label,rv_quartile,n_unweighted,events_unweighted,weighted_prevalence,se,ci_low,ci_high,weighted_prevalence_percent,ci_low_percent,ci_high_percent
obstruction_fixed_ratio_abc,Spirometric obstruction,Q1,1554,119,0.0802787128430259,0.01065966900367483,0.05938614550870528,0.10117128017734653,8.02787128430259,5.938614550870528,10.117128017734652
obstruction_fixed_ratio_abc,Spirometric obstruction,Q2,1641,195,0.14026431723449934,0.012058869501048218,0.11662936731817634,0.16389926715082231,14.026431723449933,11.662936731817634,16.389926715082233
obstruction_fixed_ratio_abc,Spirometric obstruction,Q3,1664,321,0.23546247842483906,0.01419615964072822,0.20763851681023068,0.26328644003944746,23.546247842483904,20.76385168102307,26.328644003944746
obstruction_fixed_ratio_abc,Spirometric obstruction,Q4,1883,790,0.46173709385439343,0.016810566981296366,0.42878898801135434,0.4946851996974325,46.173709385439345,42.878898801135435,49.468519969743255
current_asthma,Current asthma,Q1,1573,63,0.05459881235526064,0.012266390734950578,0.030557128294461708,0.07864049641605957,5.459881235526064,3.0557128294461706,7.864049641605956
current_asthma,Current asthma,Q2,1657,73,0.0437066590608392,0.007192061693516842,0.029610477166956042,0.05780284095472235,4.37066590608392,2.9610477166956044,5.780284095472235
current_asthma,Current asthma,Q3,1700,136,0.08249100184872576,0.009149933580331714,0.06455746157034198,0.10042454212710955,8.249100184872576,6.455746157034198,10.042454212710956
current_asthma,Current asthma,Q4,2103,240,0.12237122663037751,0.010875653454930221,0.10105533755037568,0.14368711571037934,12.237122663037752,10.105533755037568,14.368711571037935
self_reported_emphysema_or_bronchitis,Emphysema/chronic bronchitis,Q1,1575,53,0.044776525881816506,0.007009526398540847,0.031038106591993696,0.05851494517163931,4.477652588181651,3.1038106591993695,5.851494517163931
self_reported_emphysema_or_bronchitis,Emphysema/chronic bronchitis,Q2,1660,88,0.05870901886602018,0.008874298264619407,0.041315713879299845,0.07610232385274052,5.870901886602018,4.131571387929984,7.610232385274052
self_reported_emphysema_or_bronchitis,Emphysema/chronic bronchitis,Q3,1706,112,0.07775062474605485,0.013484705399392364,0.05132108782111301,0.10418016167099668,7.775062474605485,5.132108782111302,10.418016167099669
self_reported_emphysema_or_bronchitis,Emphysema/chronic bronchitis,Q4,2101,272,0.14395410697662336,0.01331181857626718,0.11786342199840844,0.1700447919548383,14.395410697662337,11.786342199840844,17.004479195483828
nhanes_frailty_proxy_ge2,Frailty proxy >=2,Q1,957,195,0.17026378561358163,0.015758487737548073,0.13937771719717135,0.20114985402999191,17.026378561358165,13.937771719717135,20.114985402999192
nhanes_frailty_proxy_ge2,Frailty proxy >=2,Q2,1026,275,0.2469195219592753,0.017943476635167325,0.2117509539969114,0.2820880899216392,24.69195219592753,21.17509539969114,28.20880899216392
nhanes_frailty_proxy_ge2,Frailty proxy >=2,Q3,1025,324,0.2984943432210717,0.01738621364076303,0.2644179906576572,0.3325706957844862,29.84943432210717,26.44179906576572,33.25706957844862
nhanes_frailty_proxy_ge2,Frailty proxy >=2,Q4,1385,583,0.41625048643480533,0.015557615196349744,0.3857581209646268,0.44674285190498386,41.62504864348053,38.575812096462684,44.67428519049839
