variable,phenotype_label,phenotype_family,equation,quality_scope,lock_role,n_unweighted,events_unweighted,weighted_prevalence_percent,ci_low_percent,ci_high_percent,display
obstruction_fixed_ratio_abc,Fixed-ratio obstruction,obstruction,Fixed FEV1/FVC <0.70,A/B/C,legacy_anchor,6786,1438,22.590243529162386,20.851805460893218,24.328681597431558,22.6% (20.9-24.3)
obstruction_fixed_ratio_ab,"Fixed-ratio obstruction, strict A/B",obstruction,Fixed FEV1/FVC <0.70,A/B,quality_sensitivity,6030,1257,22.069813668384857,20.260737736727926,23.878889600041788,22.1% (20.3-23.9)
obstruction_gli_global2022_abc,GLI Global 2022 obstruction,obstruction,GLI Global 2022 race-neutral LLN,A/B/C,primary_lln,6754,867,13.871020085365906,12.591806753085574,15.15023341764624,13.9% (12.6-15.2)
obstruction_gli_global2022_ab,"GLI Global 2022 obstruction, strict A/B",obstruction,GLI Global 2022 race-neutral LLN,A/B,quality_sensitivity,6003,749,13.449821488462845,12.157884370125593,14.741758606800099,13.4% (12.2-14.7)
obstruction_gli2012_abc,GLI-2012 obstruction,obstruction,GLI-2012 race/ethnicity-specific LLN,A/B/C,reference_sensitivity,6754,857,13.413042749197796,12.131517868656458,14.694567629739133,13.4% (12.1-14.7)
obstruction_gli2012_ab,"GLI-2012 obstruction, strict A/B",obstruction,GLI-2012 race/ethnicity-specific LLN,A/B,quality_sensitivity,6003,747,13.119184804107359,11.906308979708035,14.332060628506685,13.1% (11.9-14.3)
low_fev1_gli_global2022_abc,GLI Global 2022 low FEV1,low_fev1,GLI Global 2022 race-neutral z<-1.645,A/B/C,prism_component,6754,761,8.653188373485087,7.843717423396463,9.46265932357371,8.7% (7.8-9.5)
low_fvc_gli_global2022_abc,GLI Global 2022 low FVC,low_fvc,GLI Global 2022 race-neutral z<-1.645,A/B/C,restriction_screen,6754,422,3.688628438188534,3.1042860498210754,4.2729708265559925,3.7% (3.1-4.3)
prism_gli_global2022_z_abc,GLI Global 2022 PRISm-z,prism,Preserved FEV1/FVC z and low FEV1 z,A/B/C,primary_prism,6754,377,3.3999737396710596,2.8754433201375553,3.9245041592045644,3.4% (2.9-3.9)
prism_gli_global2022_80_abc,GLI Global 2022 PRISm-80,prism,FEV1/FVC >=0.70 and FEV1 <80% predicted,A/B/C,conventional_prism,6754,647,6.210016247833863,5.2678639082122265,7.1521685874555,6.2% (5.3-7.2)
low_fev1_gli2012_abc,GLI-2012 low FEV1,low_fev1,GLI-2012 race/ethnicity-specific z<-1.645,A/B/C,reference_sensitivity,6754,760,11.278047533081569,9.945259166022861,12.610835900140277,11.3% (9.9-12.6)
low_fvc_gli2012_abc,GLI-2012 low FVC,low_fvc,GLI-2012 race/ethnicity-specific z<-1.645,A/B/C,reference_sensitivity,6754,431,5.563473036613483,4.851134068128583,6.275812005098384,5.6% (4.9-6.3)
prism_gli2012_z_abc,GLI-2012 PRISm-z,prism,Preserved FEV1/FVC z and low FEV1 z,A/B/C,reference_sensitivity,6754,365,5.045834502568393,4.178214467198011,5.913454537938775,5.0% (4.2-5.9)
prism_gli2012_80_abc,GLI-2012 PRISm-80,prism,FEV1/FVC >=0.70 and FEV1 <80% predicted,A/B/C,reference_sensitivity,6754,509,6.482711184456101,5.554522650440605,7.4108997184715975,6.5% (5.6-7.4)
